internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
11208,Entosphenus macrostoma,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Entosphenus,macrostoma,,,,,"Beamish, 1982",
8173,Eudontomyzon mariae,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Eudontomyzon,mariae,,,,,"(Berg, 1931)",
11206,Lampetra fluviatilis,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Lampetra,fluviatilis,,,,,"(Linnaeus, 1758)",
11213,Lampetra planeri,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Lampetra,planeri,,,,,"(Bloch, 1784)",
122898736,Mordacia mordax,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Mordacia,mordax,,,,,"(Richardson, 1846)",
169396,Tetrapleurodon spadiceus,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Tetrapleurodon,spadiceus,,,,,"(Bean, 1887)",This species previously appeared on the IUCN Red List in the genus&#160;<em>Lampetra </em>but is now considered valid in the genus <em>Tetrapleurodon</em>.
60798,Lampetra zanandreai,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Lampetra,zanandreai,,,,,"Vladykov, 1955",
13851,Mordacia praecox,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Mordacia,praecox,,,,,"Potter, 1968",
61198,Caspiomyzon hellenicus,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Caspiomyzon,hellenicus,,,,,"(Vladykov, Renaud, Kott &amp; Economidis, 1982)",
19513875,Lampetra lanceolata,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Lampetra,lanceolata,,,,,"Kux &amp; Steiner, 1972",
197275,Geotria australis,ANIMALIA,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Geotria,australis,,,,,"Gray, 1851",
