total_id,scientificName,kingdomName,phylumName,className,orderName,familyName,redlistCategory,marine_regions,url
47165363/47461981,Eustomias macrurus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/47165363/47461981
47165472/47462006,Photonectes parvimanus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/47165472/47462006
47165490/47462011,Photostomias goodyeari,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/47165490/47462011
47165538/47462016,Sudis atrox,ANIMALIA,CHORDATA,ACTINOPTERYGII,AULOPIFORMES,PARALEPIDIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/47165538/47462016
198632/48366610,Scartella cristata,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/198632/48366610
2474/50348265,Balaenoptera acutorostrata,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/2474/50348265
2476/50349178,Balaenoptera edeni,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/2476/50349178
2478/50349982,Balaenoptera physalus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Vulnerable,Atlantic Eastern Central,https://www.iucnredlist.org/species/2478/50349982
8551/50354433,Feresa attenuata,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/8551/50354433
9249/50355227,Globicephala macrorhynchus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/9249/50355227
9250/50356171,Globicephala melas,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/9250/50356171
9461/50356660,Grampus griseus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/9461/50356660
11047/50358334,Kogia breviceps,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,KOGIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/11047/50358334
11048/50359330,Kogia sima,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,KOGIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/11048/50359330
11140/50360282,Lagenodelphis hosei,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/11140/50360282
13006/50362794,Megaptera novaeangliae,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/13006/50362794
13244/50364253,Mesoplodon densirostris,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/13244/50364253
13245/50365198,Mesoplodon europaeus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/13245/50365198
13250/50367095,Mesoplodon mirus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/13250/50367095
15421/50368125,Orcinus orca,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/15421/50368125
16564/50369125,Peponocephala electra,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/16564/50369125
20729/50373009,Stenella attenuata,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/20729/50373009
20730/50373865,Stenella clymene,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/20730/50373865
20731/50374282,Stenella coeruleoalba,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/20731/50374282
20732/50375312,Stenella frontalis,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/20732/50375312
23211/50379111,Ziphius cavirostris,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/23211/50379111
18123632/60413587,Anotopterus pharao,ANIMALIA,CHORDATA,ACTINOPTERYGII,AULOPIFORMES,ANOTOPTERIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18123632/60413587
190126/60457276,Gadomus dispar,ANIMALIA,CHORDATA,ACTINOPTERYGII,GADIFORMES,MACROURIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190126/60457276
190447/60458538,Caulophryne jordani,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,CAULOPHRYNIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190447/60458538
57453548/60774385,Aphyonus gelatinosus,ANIMALIA,CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,BYTHITIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/57453548/60774385
60469215/60775261,Aphyonus rassi,ANIMALIA,CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,BYTHITIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/60469215/60775261
60469186/60780091,Alepisaurus brevirostris,ANIMALIA,CHORDATA,ACTINOPTERYGII,AULOPIFORMES,ALEPISAURIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/60469186/60780091
18139074/60780149,Alepocephalus productus,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,ALEPOCEPHALIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18139074/60780149
190419/60780365,Bajacalifornia arcylepis,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,ALEPOCEPHALIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/190419/60780365
190282/60780445,Bathytroctes macrolepis,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,ALEPOCEPHALIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190282/60780445
60469527/60780576,Bathytroctes squamosus,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,ALEPOCEPHALIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/60469527/60780576
57825241/60780600,Einara edentula,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,ALEPOCEPHALIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/57825241/60780600
18140291/60780807,Narcetes stomias,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,ALEPOCEPHALIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18140291/60780807
57453678/60781155,Barathronus multidens,ANIMALIA,CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,BYTHITIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/57453678/60781155
57453584/60781274,Nybelinella erikssoni,ANIMALIA,CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,BYTHITIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/57453584/60781274
60483363/60781427,Sciadonus jonassoni,ANIMALIA,CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,BYTHITIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/60483363/60781427
