scientificName,className,orderName,familyName,redlistCategory,systems,realm,url
Chelonoidis niger,REPTILIA,TESTUDINES,TESTUDINIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/9023/3149101
Cyclura onchiopsis,REPTILIA,SQUAMATA,IGUANIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/173001/6955940
Cylindraspis indica,REPTILIA,TESTUDINES,TESTUDINIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/6061/12383518
Cylindraspis inepta,REPTILIA,TESTUDINES,TESTUDINIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/6062/12385198
Cylindraspis peltastes,REPTILIA,TESTUDINES,TESTUDINIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/6063/12388776
Cylindraspis triserrata,REPTILIA,TESTUDINES,TESTUDINIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/6064/12390055
Cylindraspis vosmaeri,REPTILIA,TESTUDINES,TESTUDINIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/6065/12391587
Bolyeria multocarinata,REPTILIA,SQUAMATA,BOLYERIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/2864/13483086
Gongylomorphus borbonicus,REPTILIA,SQUAMATA,SCINCIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/17023321/17023353
Leiolopisma ceciliae,REPTILIA,SQUAMATA,SCINCIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/17023550/17023949
Phelsuma edwardnewtonii,REPTILIA,SQUAMATA,GEKKONIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/17432631/17432636
Contomastix charrua,REPTILIA,SQUAMATA,TEIIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/63488699/63488710
Chelonoidis abingdonii,REPTILIA,TESTUDINES,TESTUDINIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/9017/65487433
Pelusios seychellensis,REPTILIA,TESTUDINES,PELOMEDUSIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Afrotropical,https://www.iucnredlist.org/species/16527/97386102
Emoia nativitatis,REPTILIA,SQUAMATA,SCINCIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/178595/101749951
Leiocephalus herminieri,REPTILIA,SQUAMATA,TROPIDURIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/11389/115102240
Erythrolamprus perfuscus,REPTILIA,SQUAMATA,DIPSADIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/12081/115104581
Clelia errabunda,REPTILIA,SQUAMATA,DIPSADIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/203441/115349952
Alinea luciae,REPTILIA,SQUAMATA,SCINCIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/44579175/115387556
Copeoglossum redondae,REPTILIA,SQUAMATA,SCINCIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/47102774/115396604
Leiocephalus cuneus,REPTILIA,SQUAMATA,TROPIDURIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/75306422/115482357
Tetradactylus eastwoodae,REPTILIA,SQUAMATA,GERRHOSAURIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/21663/115653635
Scelotes guentheri,REPTILIA,SQUAMATA,SCINCIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/44979051/115670551
Hoplodactylus delcourti,REPTILIA,SQUAMATA,DIPLODACTYLIDAE,Extinct,Terrestrial,Australasian,https://www.iucnredlist.org/species/10254/120158840
Pholidoscelis cineraceus,REPTILIA,SQUAMATA,TEIIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/1119/121639617
Nactus soniae,REPTILIA,SQUAMATA,GEKKONIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/13484053/164136280
Leiolopisma mauritiana,REPTILIA,SQUAMATA,SCINCIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/11410/166839636
Phelsuma gigas,REPTILIA,SQUAMATA,GEKKONIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/16925/166929864
Madatyphlops cariei,REPTILIA,SQUAMATA,TYPHLOPIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/22607/166933641
Chioninia coctei,REPTILIA,SQUAMATA,SCINCIDAE,Extinct,Terrestrial,Afrotropical,https://www.iucnredlist.org/species/13152363/207442561
Leiocephalus eremitus,REPTILIA,SQUAMATA,TROPIDURIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/11388/207443416
Phrynomedusa fimbriata,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Neotropical,https://www.iucnredlist.org/species/17078/6797217
Lithobates fisheri,AMPHIBIA,ANURA,RANIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Nearctic,https://www.iucnredlist.org/species/19148/8842858
Rheobatrachus silus,AMPHIBIA,ANURA,MYOBATRACHIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Australasian,https://www.iucnredlist.org/species/19475/8896430
Rheobatrachus vitellinus,AMPHIBIA,ANURA,MYOBATRACHIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Australasian,https://www.iucnredlist.org/species/19476/8897826
Taudactylus diurnus,AMPHIBIA,ANURA,MYOBATRACHIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Australasian,https://www.iucnredlist.org/species/21530/9298760
Plethodon ainsworthi,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Nearctic,https://www.iucnredlist.org/species/29488/9501575
Atelopus longirostris,AMPHIBIA,ANURA,BUFONIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Neotropical,https://www.iucnredlist.org/species/54522/11158637
Atelopus chiriquiensis,AMPHIBIA,ANURA,BUFONIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Neotropical,https://www.iucnredlist.org/species/54498/54340769
Oophaga speciosa,AMPHIBIA,ANURA,DENDROBATIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/55201/54344718
Incilius periglenes,AMPHIBIA,ANURA,BUFONIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Neotropical,https://www.iucnredlist.org/species/3172/54357699
Atelopus senex,AMPHIBIA,ANURA,BUFONIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Neotropical,https://www.iucnredlist.org/species/54549/54358350
Craugastor anciano,AMPHIBIA,ANURA,CRAUGASTORIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Neotropical,https://www.iucnredlist.org/species/56413/54365740
Craugastor myllomyllon,AMPHIBIA,ANURA,CRAUGASTORIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/56782/54369332
Craugastor omoaensis,AMPHIBIA,ANURA,CRAUGASTORIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Neotropical,https://www.iucnredlist.org/species/56810/54369525
Pseudoeurycea exspectata,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Extinct,Terrestrial,Neotropical,https://www.iucnredlist.org/species/59376/54381158
Cynops wolterstorffi,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Palearctic,https://www.iucnredlist.org/species/59445/63869216
Atelopus vogli,AMPHIBIA,ANURA,BUFONIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Neotropical,https://www.iucnredlist.org/species/54561/109529582
Nannophrys guentheri,AMPHIBIA,ANURA,DICROGLOSSIDAE,Extinct,Terrestrial|Freshwater (=Inland waters),Indomalayan,https://www.iucnredlist.org/species/58390/156580255
Pseudophilautus adspersus,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58811/156580927
Pseudophilautus dimbullae,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58835/156581915
Pseudophilautus eximius,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58839/156581975
Pseudophilautus extirpo,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58840/156582033
Pseudophilautus halyi,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58852/156582452
Pseudophilautus leucorhinus,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58862/156582678
Pseudophilautus malcolmsmithi,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58869/156583167
Pseudophilautus nanus,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58877/156583351
Pseudophilautus nasutus,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58878/156583411
Pseudophilautus oxyrhynchus,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58883/156583754
Pseudophilautus rugatus,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58895/156584657
Pseudophilautus temporalis,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58924/156585775
Pseudophilautus variabilis,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58931/156585835
Pseudophilautus zal,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58938/156586194
Pseudophilautus zimmeri,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/58939/156586253
Pseudophilautus maia,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/136000/156588623
Pseudophilautus pardus,AMPHIBIA,ANURA,RHACOPHORIDAE,Extinct,Terrestrial,Indomalayan,https://www.iucnredlist.org/species/136163/156588728
Eudontomyzon sp. nov. 'migratory',CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,Extinct,Freshwater (=Inland waters),Palearctic,https://www.iucnredlist.org/species/135505/4134478
