internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
58271,Minervarya greenii,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Minervarya,greenii,,,,,"(Boulenger, 1905)","When the first assessment for this species was published (in 2004) it was under the generic name <em>Fejervarya</em>. In 2009, the species was transferred to the genus <em>Zakerana</em>. <em>Zakerana</em> is now recognized as a junior synonym of <em>Fejervarya</em> (Dinesh <em>et al</em>. 2015), hence the species has been returned to the genus <em>Fejervarya</em>.<br/><br/>Krishnamurthy and Shakunthala (1993) reported this species from Karnataka, India. Dutta (1997) rejected the species' presence in India, but notes that there is an unspecified form of&#160;<em>Fejervarya</em>&#160;in Karnataka and Maharashtra that is closely related to&#160;<em>F. greenii</em>&#160;(S. Dutta pers. comm.)."
58274,Minervarya kirtisinghei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Minervarya,kirtisinghei,,,,,"(Manamendra-Arachchi &amp; Gabadage, 1996)","When the first assessment for this species was published (in 2004) it was under the generic name <em>Fejervarya</em>. In 2009, the species was transferred to the genus <em>Zakerana</em>. <em>Zakerana</em> is now recognized as a junior synonym of <em>Fejervarya</em> (Dinesh&#160;<em>et al</em>. 2015), hence the species has been returned to the genus <em>Fejervarya</em>."
58324,Lankanectes corrugatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Lankanectes,corrugatus,,,,,"(Peters, 1863)",
58389,Nannophrys ceylonensis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Nannophrys,ceylonensis,,,,,"Günther, 1869",
58390,Nannophrys guentheri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Nannophrys,guentheri,,,,,"Boulenger, 1882",The five available museum specimens require further comparison with specimens of <i>Nannophrys ceylonensis</i>.
58391,Nannophrys marmorata,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Nannophrys,marmorata,,,,,"Kirtisinghe, 1946",
58604,Hydrophylax gracilis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hydrophylax,gracilis,,,,,"(Gravenhorst, 1829)",Sri Lankan subpopulations from Galle and Udawatta that were previously assigned to&#160;<em>I.&#160;aurantiaca</em><em>&#160;</em>have now been reallocated to this species (Biju<em>&#160;et al.</em>&#160;2014).
174266186,Pseudophilautus abundus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,abundus,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)","This is a broader concept of <em>Pseudophilautus abundus</em> that now includes all the records from <em>P. procax,</em>&#160;as these species have been synonymized&#160;(Ellepola <em>et al.</em> 2021)."
58811,Pseudophilautus adspersus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,adspersus,,,,,"(Günther, 1872)",
58813,Pseudophilautus alto,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,alto,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
174265411,Pseudophilautus asankai,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,asankai,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)","This is a broader concept of<em> P. asankai</em> that now includes all the records from <em>P. hoffmani</em>, as these species have been synonymized (Ellepola <em>et al</em>. 2021)."
58819,Pseudophilautus auratus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,auratus,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58825,Pseudophilautus caeruleus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,caeruleus,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58828,Pseudophilautus cavirostris,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,cavirostris,,,,,"(Günther, 1869)","We follow Bossuyt and Dubois (2001) in considering this species to be separate from <em>Philautus microtympanum</em>, and belonging to the genus <em>Philautus</em>, rather than <em>Polypedates</em>."
58833,Pseudophilautus cuspis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,cuspis,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58835,Pseudophilautus dimbullae,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,dimbullae,,,,,"(Shreve, 1940)","This species is considered distinct from <em>Philautus microtympanum</em>, following Manamendra-Arachchi and Pethiyagoda (2005)."
58839,Pseudophilautus eximius,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,eximius,,,,,"(Shreve, 1940)",
58840,Pseudophilautus extirpo,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,extirpo,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58842,Pseudophilautus fergusonianus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,fergusonianus,,,,,"(Ahl, 1927)",
58844,Pseudophilautus folicola,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,folicola,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58845,Pseudophilautus fulvus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,fulvus,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58852,Pseudophilautus halyi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,halyi,,,,,"(Boulenger, 1904)",This species is considered distinct from <em>Philautus leucorhinus</em> following Manamendra-Arachchi and Pethiyagoda (2005).
58855,Pseudophilautus hypomelas,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,hypomelas,,,,,"(Günther, 1876)",
58862,Pseudophilautus leucorhinus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,leucorhinus,,,,,"(Lichtenstein &amp; Martens, 1856)",Specimens recorded as <i>Philautus temporalis</i> and <i>P. leucorhinus</i> from the Western Ghats of India are now considered to be <i>P. wynaadensis</i>. <i>P. temporalis</i> and <i>P. leucorhinus</i> are endemic species of Sri Lanka (S.D. Biju and K. Manamendra-Arachchi pers. comm.; Bossuyt and Dubois 2001).
58863,Pseudophilautus limbus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,limbus,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58866,Pseudophilautus lunatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,lunatus,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58869,Pseudophilautus malcolmsmithi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,malcolmsmithi,,,,,"(Ahl, 1927)",We consider this species to be distinct from <i>Philautus leucorhinus</i> following Manamendra-Arachchi and Pethiyagoda (2005).
58874,Pseudophilautus microtympanum,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,microtympanum,,,,,"(Günther, 1858)",This species is sometimes placed in the genus <i>Rhacophorus</i>.
58877,Pseudophilautus nanus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,nanus,,,,,"(Günther, 1869)",This species was resurrected from the synonymy of <em>Philautus microtympanum</em> by Dutta and Manamendra-Arachchi (1996).
58878,Pseudophilautus nasutus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,nasutus,,,,,"(Günther, 1869)",
58879,Pseudophilautus nemus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,nemus,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58881,Pseudophilautus ocularis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,ocularis,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58883,Pseudophilautus oxyrhynchus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,oxyrhynchus,,,,,"(Günther, 1872)",This species is considered distinct from <i>Philautus leucorhinus</i> following Manamendra-Arachchi and Pethiyagoda (2005).
174265859,Pseudophilautus pleurotaenia,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,pleurotaenia,,,,,"(Boulenger, 1904)","This is a broader concept of&#160;<em>P</em><em>seudophilautus</em><em>&#160;pleurotaenia</em> that now includes all the records from <em>P. hoipolloi</em>,&#160;as these species have been synonymized (Ellepola<em> et al. </em>2021)."
58889,Pseudophilautus popularis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,popularis,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58892,Pseudophilautus regius,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,regius,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
